epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.456,1.05823,4.48166,1.5301,0.00285,1,0.33547,0.22449,0.28797,16.884,0.97589,0.00028339,0.00028339,0.00028339
2,44.3587,0.6958,3.38069,1.33935,0.0026,1,0.45013,0.35559,0.42803,17.4395,1.0836,0.000571898,0.000571898,0.000571898
3,62.3948,1.12153,4.81061,1.72553,0.00264,1,0.09779,0.05736,0.64416,17.5521,1.41401,0.000848523,0.000848523,0.000848523
4,80.6539,1.07917,4.21793,1.53954,0.00308,1,0.17973,0.05913,1.34209,16.8215,1.53236,0.00111327,0.00111327,0.00111327
5,98.5373,0.91764,3.60275,1.47779,0.28181,0.375,0.36238,0.20565,0.74434,15.2468,1.344,0.00136613,0.00136613,0.00136613
6,117.062,0.63435,4.07382,1.2313,0.19252,0.25,0.34464,0.13375,1.08772,15.1374,1.72324,0.00150197,0.00150197,0.00150197
7,134.577,0.82894,4.65724,1.30067,0.53352,0.57542,0.45342,0.10687,1.83766,15.4683,2.65842,0.00146896,0.00146896,0.00146896
8,152.581,0.81662,3.29295,1.41073,0.42784,0.25,0.22305,0.05776,1.54612,18.3614,2.2907,0.00143595,0.00143595,0.00143595
9,170.737,0.80124,2.93764,1.40516,0.23308,0.125,0.11615,0.03967,1.50695,19.2944,2.00446,0.00140295,0.00140295,0.00140295
10,189.329,0.89142,5.39958,1.40029,0.15404,0.375,0.10278,0.04379,1.66385,16.2958,1.96044,0.00136994,0.00136994,0.00136994
11,207.914,0.82003,3.10205,1.4434,0.13381,0.25,0.12941,0.0299,1.86872,14.5234,2.21833,0.00133693,0.00133693,0.00133693
12,226.582,0.84683,2.56171,1.43041,0.55302,0.375,0.40189,0.21078,0.62213,17.0654,1.40264,0.00130393,0.00130393,0.00130393
13,244.658,0.91832,5.99459,1.31587,0.25967,0.625,0.23667,0.13192,0.77412,14.2669,1.51837,0.00127092,0.00127092,0.00127092
